decision_id,domain,title,decision,rationale,status,decided_by,decided_at,supersedes
DEC-ARCH-001,architecture,System of record,"Owned backend stores lead PII consent geocoding clusters reports and exports",Shopify should remain storefront/context only,accepted,code-puppy-da30e5,,
DEC-DNS-001,dns,DNS authority target,Use Cloudflare as authoritative DNS after preflight,Cloudflare API and DNS tooling are better suited for automation,proposed,code-puppy-da30e5,,
DEC-SHOP-001,shopify,Initial Shopify integration,Use Shopify landing page CTA to leads.bentondrones.com,Simpler safer launch than immediate App Proxy,accepted,code-puppy-da30e5,,
DEC-SHOP-002,shopify,App Proxy validation requirement,Require HMAC/signature validation before production App Proxy trust,Prevents spoofed Shopify customer context,accepted,code-puppy-da30e5,,
DEC-TRACK-001,tracking,Dolt-backed local tracking,Use repo-local portable Dolt plus CSV source/export tables,Winget installer was cancelled so portable Dolt was installed under ignored .tools,accepted,code-puppy-da30e5,,
DEC-GEO-001,geocoding,Geocoder provider chain,Use US Census Bureau Geocoder as primary with Nominatim fallback and a DB-backed response cache,Both are free keyless public services; Census has best US street-address coverage; Nominatim covers fallback cases; caching avoids repeat network calls and respects provider usage policies,accepted,solutions-architect,,
DEC-NOTIFY-001,notifications,Email send mechanism,Use Python stdlib smtplib over Google Workspace SMTP with app password and a DB-backed send queue; defer SMS,Zero new dependencies or paid services; reuses existing Workspace mailbox; DB queue guarantees no signup is lost or blocked by email failure; SMS adds cost and consent complexity not needed at launch,accepted,solutions-architect,,
DEC-RATELIMIT-001,security,Rate limiter design,Use token-bucket-in-DB with atomic updates for cross-process shared limits; no Redis,Existing database provides atomicity needed for multi-process correctness; avoids adding Redis infrastructure for a single-host deployment; survives restarts unlike in-memory limiting,accepted,solutions-architect,,
DEC-JIRA-001,integrations,JIRA replay strategy,Use on-read sweep plus optional daemon replay with exponential backoff dead-letter and idempotency keys,On-read sweep guarantees progress without a running worker; daemon adds timeliness in production; backoff plus dead-letter prevents poison-message loops; idempotency makes at-least-once delivery safe,accepted,solutions-architect,,
DEC-ARCH-002,architecture,Cloudflare Pages admin dashboard,"Host admin UI as static assets on Cloudflare Pages at admin.bentondrones.com gated by Cloudflare Access with Render API at leads.bentondrones.com validating Access JWT server-side; disable onrender subdomain; remove password login; noindex",ADR-001 Option B chosen for instant admin shell + MFA/SSO via Access + defense-in-depth JWT verification + free tier; Option D documented as fallback if CORS complexity is unwanted,proposed,solutions-architect,2026-08-17T12:00:00Z,
